Ensembl Gene ID	Associated Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name
ENSG00000097007	ABL1	133589333	133763062	9
ENSG00000143322	ABL2	179068462	179198819	1
ENSG00000115170	ACVR1	158592958	158732374	2
ENSG00000135503	ACVR1B	52345451	52390862	12
ENSG00000129474	AJUBA	23440383	23451851	14
ENSG00000142208	AKT1	105235686	105262088	14
ENSG00000105221	AKT2	40736224	40791443	19
ENSG00000117020	AKT3	243651535	244014381	1
ENSG00000171094	ALK	29415640	30144432	2
LRG_488	LRG_488	5001	733793	LRG_488
ENSG00000184675	AMER1	63404997	63425624	X
ENSG00000134982	APC	112043195	112181936	5
LRG_130	LRG_130	20001	158719	LRG_130
ENSG00000239713	APOBEC3G	39436924	39483748	22
ENSG00000169083	AR	66764465	66950461	X
ENSG00000078061	ARAF	47420516	47431307	X
ENSG00000101246	ARFRP1	62329996	62339377	20
ENSG00000160007	ARHGAP35	47421933	47508334	19
ENSG00000117713	ARID1A	27022524	27108595	1
ENSG00000049618	ARID1B	157099063	157531913	6
ENSG00000189079	ARID2	46123448	46301823	12
ENSG00000150347	ARID5B	63661059	63856703	10
ENSG00000129691	ASH2L	37962760	38001594	8
ENSG00000171456	ASXL1	30946155	31027122	20
ENSG00000143970	ASXL2	25956622	26101385	2
ENSG00000123268	ATF1	51157493	51214905	12
ENSG00000149311	ATM	108093211	108239829	11
LRG_135	LRG_135	5001	151268	LRG_135
ENSG00000175054	ATR	142168077	142297668	3
ENSG00000085224	ATRX	76760356	77041702	X
ENSG00000268946	ATRX	76765832	77047170	HG1426_PATCH
ENSG00000087586	AURKA	54944445	54967393	20
ENSG00000178999	AURKB	8108056	8113918	17
ENSG00000103126	AXIN1	337440	402673	16
ENSG00000168646	AXIN2	63524681	63557765	17
LRG_296	LRG_296	5001	38060	LRG_296
ENSG00000167601	AXL	41725108	41767671	19
ENSG00000163930	BAP1	52435029	52444366	3
ENSG00000138376	BARD1	215590370	215674428	2
ENSG00000171791	BCL2	60790579	60987361	18
ENSG00000140379	BCL2A1	80253231	80263788	15
ENSG00000171552	BCL2L1	30252255	30311792	20
ENSG00000126453	BCL2L12	50168823	50177173	19
ENSG00000129473	BCL2L2	23767999	23780968	14
ENSG00000113916	BCL6	187439165	187463515	3
ENSG00000183337	BCOR	39909068	40036582	X
ENSG00000085185	BCORL1	129115083	129192058	X
ENSG00000197299	BLM	91260558	91358859	15
LRG_20	LRG_20	4978	103085	LRG_20
