Ensembl Gene ID	Associated Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name
ENSG00000097007	ABL1	133589333	133763062	9
ENSG00000142208	AKT1	105235686	105262088	14
ENSG00000171094	ALK	29415640	30144432	2
LRG_488	LRG_488	5001	733793	LRG_488
ENSG00000134982	APC	112043195	112181936	5
LRG_130	LRG_130	20001	158719	LRG_130
ENSG00000149311	ATM	108093211	108239829	11
LRG_135	LRG_135	5001	151268	LRG_135
ENSG00000157764	BRAF	140419127	140624564	7
ENSG00000039068	CDH1	68771128	68869451	16
LRG_301	LRG_301	5001	103250	LRG_301
ENSG00000147889	CDKN2A	21967751	21995300	9
LRG_11	LRG_11	5001	31740	LRG_11
ENSG00000182578	CSF1R	149432854	149492935	5
ENSG00000168036	CTNNB1	41236328	41301587	3
ENSG00000162733	DDR2	162601163	162757190	1
ENSG00000119772	DNMT3A	25455845	25565459	2
ENSG00000146648	EGFR	55086714	55324313	7
ENSG00000141736	ERBB2	37844167	37886679	17
ENSG00000178568	ERBB4	212240446	213403565	2
ENSG00000106462	EZH2	148504475	148581413	7
ENSG00000109670	FBXW7	153242410	153457253	4
ENSG00000077782	FGFR1	38268656	38326352	8
ENSG00000066468	FGFR2	123237848	123357972	10
ENSG00000068078	FGFR3	1795034	1810599	4
ENSG00000122025	FLT3	28577411	28674729	13
LRG_457	LRG_457	4977	102295	LRG_457
ENSG00000183770	FOXL2	138663066	138665982	3
ENSG00000088256	GNA11	3094408	3124002	19
ENSG00000156052	GNAQ	80331003	80646374	9
ENSG00000087460	GNAS	57414773	57486247	20
ENSG00000163041	H3F3A	226249552	226259702	1
ENSG00000124693	HIST1H3B	26031817	26032288	6
ENSG00000135100	HNF1A	121416346	121440315	12
LRG_522	LRG_522	5001	28767	LRG_522
ENSG00000174775	HRAS	532242	537287	11
ENSG00000138413	IDH1	209100951	209130798	2
ENSG00000182054	IDH2	90626277	90645736	15
ENSG00000096968	JAK2	4985033	5128183	9
ENSG00000105639	JAK3	17935589	17958880	19
LRG_77	LRG_77	4960	28210	LRG_77
ENSG00000128052	KDR	55944644	55991756	4
ENSG00000157404	KIT	55524085	55606881	4
LRG_307	LRG_307	4935	87721	LRG_307
ENSG00000133703	KRAS	25357723	25403870	12
ENSG00000169032	MAP2K1	66679155	66784650	15
ENSG00000105976	MET	116312444	116438440	7
ENSG00000076242	MLH1	37034823	37107380	3
LRG_216	LRG_216	5001	62497	LRG_216
ENSG00000117400	MPL	43803478	43818443	1
LRG_510	LRG_510	5001	21661	LRG_510
ENSG00000116062	MSH6	47922669	48037240	2
LRG_219	LRG_219	4936	28807	LRG_219
ENSG00000148400	NOTCH1	139388896	139440314	9
ENSG00000181163	NPM1	170814120	170838141	5
LRG_458	LRG_458	5001	28181	LRG_458
ENSG00000213281	NRAS	115247090	115259515	1
LRG_92	LRG_92	5001	17438	LRG_92
ENSG00000134853	PDGFRA	55095264	55164414	4
ENSG00000121879	PIK3CA	178865902	178957881	3
ENSG00000145675	PIK3R1	67511548	67597649	5
ENSG00000171862	PTEN	89622870	89731687	10
LRG_311	LRG_311	5001	110337	LRG_311
ENSG00000179295	PTPN11	112856155	112947717	12
ENSG00000139687	RB1	48877887	49056122	13
LRG_517	LRG_517	5001	183144	LRG_517
ENSG00000165731	RET	43572475	43625799	10
ENSG00000141646	SMAD4	48494410	48611415	18
LRG_318	LRG_318	67174	122003	LRG_318
ENSG00000099956	SMARCB1	24129150	24176703	22
LRG_520	LRG_520	5001	52556	LRG_520
ENSG00000128602	SMO	128828713	128853386	7
ENSG00000197122	SRC	35973088	36034453	20
ENSG00000118046	STK11	1189406	1228428	19
LRG_319	LRG_319	21393	44029	LRG_319
ENSG00000141510	TP53	7565097	7590856	17
LRG_321	LRG_321	5001	24149	LRG_321
ENSG00000165699	TSC1	135766735	135820020	9
ENSG00000134086	VHL	10182692	10193904	3
LRG_322	LRG_322	5001	17036	LRG_322
